symbol_index,normalized_pam4_symbol,tx_center_sample_v,channel_center_sample_v,afe_center_sample_v
512,-3.0,-0.44795925868591885,-0.07273518575089531,-0.2862311872646759
538,-3.0,-0.4460891134249251,0.00279354586858303,-0.1275290033301784
563,-3.0,-0.4477887241088483,-0.0013762964185961369,-0.15282668507862546
589,1.0,0.15135858175244843,-0.011852186776218283,0.0338155331001364
615,-1.0,-0.14643024581011005,-0.010244711895158288,-0.04234505904988422
640,-1.0,-0.1467714970468994,-0.0878696208061973,-0.18986415517280197
666,1.0,0.14982943580437505,0.050689574511927044,0.11099635079240544
691,1.0,0.15187009131991086,0.1267837860219603,0.300309430626181
717,-1.0,-0.1500000779746721,-0.08630384542233191,-0.1883450440962566
743,-3.0,-0.4447308114073367,-0.032034454616616,-0.22170552421783224
768,-3.0,-0.44830046511686067,-0.17443932229462733,-0.4471847231993857
794,-1.0,-0.14660094224445358,-0.04254660254903794,-0.11154850965883056
820,3.0,0.4447306909446642,-0.005409951127381917,0.17537118069031254
845,3.0,0.44608935120200177,-0.013718952236995478,0.11945949689214669
871,-1.0,-0.14830038296329764,-0.02933523592579772,-0.11308624737710798
897,1.0,0.1513585265520181,-0.043187720096308835,-0.017015024993658624
922,1.0,0.15000009118583774,0.08270165442768768,0.1782817989570205
948,-1.0,-0.1466008830822602,0.025420098898715184,-0.01751419465048287
974,-1.0,-0.15169961286402078,-0.07922599061590335,-0.20448555372320518
999,-1.0,-0.15169941688684568,-0.0781205556761583,-0.2039491117426535
1025,1.0,0.1467712916608068,-0.021117260438918067,0.04350299587902755
1050,-3.0,-0.44660089940758185,-0.1328004672843472,-0.4057045974632808
1076,1.0,0.14677126176856004,-0.034683539254172696,0.03145649830473272
1102,-1.0,-0.14677132971622275,0.0005068760342463825,-0.08986056630910658
1127,3.0,0.4481297579523269,0.04553204901021764,0.2656980500042443
1153,-3.0,-0.44999997334945707,-0.09395115188109998,-0.38108129891538006
1179,1.0,0.14847073001510253,0.004257364477693992,0.11547289915441614
1204,-1.0,-0.1483003298679696,-0.033472919092795754,-0.11711107554907327
1230,-1.0,-0.15152913032978765,-0.016983502630693238,-0.09126384635739183
1256,1.0,0.14795938612547482,0.019481614299351857,0.038654375666227064
1281,-1.0,-0.14643026782848237,-0.024831039963582345,-0.0531976608314555
1307,-3.0,-0.44625986816396623,-0.06334363525251152,-0.23791724525224692
1333,-3.0,-0.44965883616342617,-0.029635449697470343,-0.22365383434103236
1358,1.0,0.14677125846912015,-0.025413285638587427,0.04522078607163283
1384,-1.0,-0.14847104153252544,-0.14008828657680666,-0.2990280088920263
1409,1.0,0.14643029948941066,-0.04251125047786271,-0.04148426760742472
1435,-3.0,-0.44812983509997384,-0.13384124847394893,-0.3818184580682988
1461,-1.0,-0.1498294111967296,0.0031425654982527177,-0.05004768238187169
1486,-1.0,-0.1515292453556396,-0.04953718907011638,-0.12995462185781548
1512,1.0,0.1462597121013433,-0.0824256688043185,-0.10495724041912113
1538,-1.0,-0.14830038758107783,-0.04208149418465976,-0.13055310076570503
1563,3.0,0.4477887155578507,0.0022972719140591904,0.14454190213966453
1589,3.0,0.4443896881547321,0.03964687363014631,0.16319375019927262
1615,-1.0,-0.1483005254530978,-0.026361717365526165,-0.10494248733643657
1640,-3.0,-0.44965901355274923,-0.11543336792845639,-0.34360932513377046
1666,-1.0,-0.14625991967504776,0.0003755950250105876,0.008329278688231852
1691,-3.0,-0.44982941521160524,-0.0988031480742578,-0.3557101751477268
1717,-3.0,-0.4443898274170033,0.054129797883004274,-0.04663591431788014
1743,1.0,0.15152899691784727,-0.026031110671657448,0.058541614272562215
1768,3.0,0.444901239046666,0.04275578073299425,0.2643143098714821
1794,-3.0,-0.44982941247163344,-0.1670562936206803,-0.431869510842967
1820,3.0,0.4466009366626134,0.09680936955355274,0.3327283718524504
1845,3.0,0.4443895274150368,-0.09713964666171107,0.01836843528854579
1871,-3.0,-0.4462598505468698,-0.08590671182968891,-0.2922006129292759
1897,3.0,0.44473071038715695,0.050421357514174106,0.24082400093445983
1922,1.0,0.148129866917944,0.01369147456249925,0.06857498881705781
1948,1.0,0.1500001413549138,0.11519669011290201,0.21851565305014664
1974,3.0,0.44438982376308456,0.019621662305836677,0.1419318278970713
1999,-3.0,-0.44778886804965123,-0.023519672982621854,-0.17461064108409874
2025,-3.0,-0.4481299227625246,-0.08821547895715293,-0.32472063397398054
