feedback_delay_ui,feedback_coefficient
1,0.010924245893871708
2,-0.00585501776981316
3,-0.0002770364300188252
4,-0.002514478351996243
5,-0.002450040650809931
6,-0.003439917947866567
7,-0.0026707676720175945
8,-0.008740529285194441
9,0.0048616465308151825
10,0.00858714820070514
11,0.009316590339090082
12,0.007426699460116972
