relative_symbol_index,noiseless_adc_input_v,afe_noise_v,additional_adc_noise_v,aperture_jitter_s,signal_slope_v_per_s,jitter_voltage_error_v,impaired_adc_input_v,adc_output_code_unsigned,adc_clipped
0,-0.06198092297775601,-0.000591389302716865,0.0006360622431632815,1.0882918656114045e-13,-894419502.261262,-9.733894687551327e-05,-0.06203358898418511,22,False
1,-0.06262005815081685,-0.0006879318241707949,0.0007203537744642152,-2.432005108671445e-13,-868918981.0075017,0.00021132154008318306,-0.062376314660440246,22,False
2,-0.06408287370243776,-0.003339026918405569,9.781605646569491e-05,7.426000634392169e-14,3667672763.005536,0.0002723614026482199,-0.06705172316172942,21,False
3,0.012623013573286674,-0.004248597780000774,0.0011280897215120884,-1.7253042496329898e-13,729193943.1163324,-0.0001258081408865245,0.009376697373911464,33,False
4,-0.003253665558875873,0.003335581136254559,0.0003576230870259135,-2.535014572206306e-13,1331646913.1684742,-0.00033757443299156273,0.0001019642314130367,32,False
5,0.033512470810217035,-0.005331247141043142,0.000838586603900159,-3.906166897187597e-14,-676928603.0354565,2.644196100936544e-05,0.029046252234083417,36,False
6,-0.0037066049241512486,0.0035007061815616742,-0.000976528989123299,-3.0585302538118484e-13,-613049066.840916,0.00018750291180040637,-0.0009949248199124672,31,False
7,-0.00643687260490469,0.004192477879606149,0.0007295791221852533,1.0136147000892792e-13,-2293481301.911556,-0.00023247063619974512,-0.0017472862393130327,31,False
8,-0.04042403288985668,-0.0009539823729016729,0.0005303656960337178,-2.556633340569525e-13,2377655018.1650877,-0.0006078792091813302,-0.04145552877590596,25,False
9,0.04480761912157591,0.0022946202591335968,0.001971588744134557,-4.398480407615066e-14,3949204261.8261147,-0.00017370497571312084,0.04890012314913094,39,False
10,0.07195622761899888,-0.00015633991319234075,0.0004839157872092488,-1.7646169113161794e-13,-840971367.4137733,0.00014839922968710366,0.07243220272270288,43,False
11,0.02564578720255956,-0.005550412162349977,-0.0009701107699516313,-6.725610643157797e-14,-4551635692.61366,0.0003061252945801934,0.019431389564838145,35,False
12,-0.04728325389104347,0.00216775124474728,0.0005034483846285888,1.2164908757402675e-13,-1439646019.2473702,-0.00017513162467102235,-0.04478718588633863,24,False
13,-0.04006609202665909,0.0009593362417511046,0.001529482440218637,2.1362663636913444e-13,756069126.6812205,0.00016151650439545813,-0.03741575684029389,26,False
14,-0.015575099911631037,0.0022036085600562316,-0.000819144186309965,-6.924495944252653e-14,3409273801.976075,-0.00023607502614630155,-0.01442671056403107,29,False
15,0.03767293136389659,-0.0024317854123477125,6.469661004919811e-05,-1.1823746517202404e-13,-469646068.95787674,5.552976072158495e-05,0.035361372322319666,37,False
16,0.0012432965191164177,-0.0031250214440261596,0.0010752813274632206,4.070143034406647e-14,-606367033.7934349,-2.4680005588881687e-05,-0.0008311236030354031,31,False
17,0.02771357041997864,-0.0028662625770021375,0.0006333710994364791,-8.836804756993888e-14,2839223274.4123826,-0.00025089661737495104,0.02522978232503803,36,False
18,0.04658012080469311,0.0030562366839088015,-0.00023335651539143924,-1.6878503011203948e-13,-3344382082.9558835,0.0005644816305778741,0.049967482603788346,39,False
19,-0.01760324490930976,0.004231044789608413,-4.241753888619372e-05,6.946071258181123e-14,1093169346.9310951,7.593232181042709e-05,-0.013338685336777113,29,False
20,0.04682797463423473,-0.004436090633290283,0.0008802617140209822,-6.717299087011866e-14,1992864925.9722438,-0.00013386669747771324,0.043138279017487714,38,False
21,0.024500612936625647,0.003559212213879167,0.0011909005686393348,-2.315501150603055e-14,-4199573399.4497004,9.724117038467764e-05,0.029347966889528825,36,False
22,-0.056202946053540065,0.003876994845485096,0.001244482759763766,3.226512518054525e-13,-3130162433.676512,-0.0010099508275801283,-0.05209141927587133,23,False
23,-0.056700830035824,0.004544512128266533,-7.487396758013259e-05,-1.5842996206909327e-13,4390198374.150248,-0.0006955389618924187,-0.05292673083703001,23,False
24,0.04521652933507864,-0.0026593862005004692,0.0006551454988125165,1.3167953199230584e-14,4178493372.772888,5.502220517596855e-05,0.04326731083856665,38,False
25,0.05405651976891894,0.0014044156093600277,0.0010732788645916962,-4.298879227334864e-14,-4263346477.8802314,0.00018327611612690582,0.05671749035899757,41,False
26,-0.02761531826204762,0.004438460887187857,0.0005548045242744207,1.4780665113276504e-13,-754209620.5293758,-0.00011147719826256056,-0.022733530048847903,28,False
27,-0.010986036988637678,-0.0012656235508292895,-0.001180524418515771,-2.0399051663198636e-14,-1280831473.2203572,2.6127747394072886e-05,-0.013406057210588665,29,False
28,-0.06632893439488204,0.003829050147237762,-0.0005847953777961604,-7.660366073545846e-14,-2724398951.7099223,0.00020869893300482558,-0.0628759806924356,21,False
29,-0.09322623913327124,0.002131896546726513,-0.0007391366446646558,2.140758046198722e-14,-714459401.2911001,-1.5294847119962444e-05,-0.09184877407832935,17,False
30,-0.07307555947233875,0.005549607701156064,-0.00029044180714437955,-3.0998961772384626e-13,4770689133.430119,-0.0014788641007513097,-0.06929525767907838,20,False
31,0.022649225358901254,0.0023323720662524507,0.0012269661967232097,1.0503691253646665e-13,2605382756.2985954,0.00027366136069735395,0.02648222498257427,36,False
32,0.03551743755042959,-0.004254964532636559,-0.001086049974875614,2.1030246614997359e-13,1202087844.4283495,0.0002528020382121877,0.030429225081129604,36,False
33,0.0703451530601057,0.00011001204499109518,9.099807862216844e-05,1.349900238029869e-13,1675283712.7884593,0.0002261465882660704,0.07077230977198504,43,False
34,0.07909473136097755,0.0035910919108450615,-0.001646383871717267,-8.27285228652641e-14,-1117669595.966404,9.246315472571713e-05,0.08113190255483106,44,False
