series,offset_ui,value,unit
equalized_cursor,-1,0.007990071108228358,normalized_symbol
equalized_cursor,0,0.9833093424007173,normalized_symbol
equalized_cursor,1,0.007743155500946619,normalized_symbol
equalized_cursor,2,-0.004217584992515233,normalized_symbol
equalized_cursor,3,-0.000198609435613617,normalized_symbol
equalized_cursor,4,-0.001993704345706976,normalized_symbol
equalized_cursor,5,-0.001885155436751107,normalized_symbol
equalized_cursor,6,-0.003081810736334026,normalized_symbol
equalized_cursor,7,-0.0021784572635456384,normalized_symbol
equalized_cursor,8,-0.00867544824168548,normalized_symbol
equalized_cursor,9,0.0032344445841237246,normalized_symbol
equalized_cursor,10,0.008420704957044528,normalized_symbol
equalized_cursor,11,0.00842026736440852,normalized_symbol
equalized_cursor,12,0.007983219868291272,normalized_symbol
equalized_cursor,13,0.007564016909804093,normalized_symbol
equalized_cursor,14,0.007166190284828618,normalized_symbol
equalized_cursor,15,0.006785837083242159,normalized_symbol
equalized_cursor,16,0.00642319138117671,normalized_symbol
equalized_cursor,17,0.006079374531802212,normalized_symbol
equalized_cursor,18,0.00575522252806885,normalized_symbol
equalized_cursor,19,0.005451009109675629,normalized_symbol
equalized_cursor,20,0.005166482812411197,normalized_symbol
equalized_cursor,21,0.004900996137669835,normalized_symbol
equalized_cursor,22,0.004653640254177494,normalized_symbol
equalized_cursor,23,0.004423356152969604,normalized_symbol
equalized_cursor,24,0.004209017050017784,normalized_symbol
equalized_cursor,25,0.004009485479110543,normalized_symbol
equalized_cursor,26,0.0038236506870892393,normalized_symbol
equalized_cursor,27,0.0036504516560480933,normalized_symbol
equalized_cursor,28,0.0034888900597135914,normalized_symbol
equalized_cursor,29,0.0033380363893561783,normalized_symbol
equalized_cursor,30,0.0031970315803597042,normalized_symbol
equalized_cursor,31,0.003065085774738359,normalized_symbol
equalized_cursor,32,0.0029414753443885097,normalized_symbol
equalized_cursor,33,0.002825538935639974,normalized_symbol
equalized_cursor,34,0.002716673040495195,normalized_symbol
equalized_cursor,35,0.0026143274233947217,normalized_symbol
equalized_cursor,36,0.0025180006115518953,normalized_symbol
equalized_cursor,37,0.002427235574969264,normalized_symbol
equalized_cursor,38,0.0023416156673650105,normalized_symbol
equalized_cursor,39,0.0022607608629194066,normalized_symbol
equalized_cursor,40,0.0021843243001687454,normalized_symbol
equalized_cursor,41,0.00211377415725678,normalized_symbol
equalized_cursor,42,0.0020457919636626886,normalized_symbol
equalized_cursor,43,0.0019820145033722586,normalized_symbol
equalized_cursor,44,0.0019211152778229948,normalized_symbol
equalized_cursor,45,0.0018606045401790118,normalized_symbol
equalized_cursor,46,0.0018311989408201492,normalized_symbol
equalized_cursor,47,0.0016092244422961192,normalized_symbol
equalized_cursor,48,0.0025655618208629684,normalized_symbol
equalized_cursor,49,-0.0030928069395670674,normalized_symbol
equalized_cursor,50,-0.00038006280399012206,normalized_symbol
equalized_cursor,51,-0.0008409177664365905,normalized_symbol
equalized_cursor,52,-0.0004450545754028751,normalized_symbol
equalized_cursor,53,-0.0003573332075655759,normalized_symbol
equalized_cursor,54,-0.0002331309678393548,normalized_symbol
equalized_cursor,55,-0.00014729952490327816,normalized_symbol
equalized_cursor,56,-9.194163653952242e-05,normalized_symbol
