symbol_index,normalized_pam4_symbol,pre_vga_ctle_output_v,adc_analog_input_v,adc_output_code_unsigned,adc_reconstructed_voltage_v,adc_total_conversion_error_v,clipped_low,clipped_high,clipped
512,-3.0,-0.2862311872646759,-0.061980922977756016,22,-0.05937500000000001,0.0026059229777560047,False,False,False
538,-3.0,-0.1275290033301784,-0.02761531826204762,27,-0.02812500000000001,-0.0005096817379523916,False,False,False
563,-3.0,-0.15282668507862546,-0.033093315537433235,26,-0.03437499999999999,-0.001281684462566754,False,False,False
589,1.0,0.0338155331001364,0.007322465355926536,33,0.009374999999999994,0.0020525346440734586,False,False,False
615,-1.0,-0.04234505904988422,-0.009169461471130597,30,-0.009374999999999994,-0.00020553852886939783,False,False,False
640,-1.0,-0.18986415517280197,-0.041113463876738254,25,-0.040624999999999994,0.0004884638767382599,False,False,False
666,1.0,0.11099635079240544,0.024035313324939994,35,0.021875000000000006,-0.0021603133249399886,False,False,False
691,1.0,0.300309430626181,0.06502944653589882,42,0.06562499999999999,0.0005955534641011728,False,False,False
717,-1.0,-0.1883450440962566,-0.04078451332620668,25,-0.040624999999999994,0.00015951332620668668,False,False,False
743,-3.0,-0.22170552421783224,-0.048008440839753086,24,-0.046875,0.001133440839753086,False,False,False
768,-3.0,-0.4471847231993857,-0.09683403877237398,16,-0.096875,-4.096122762602128e-05,False,False,False
794,-1.0,-0.11154850965883056,-0.024154878619338675,28,-0.021875000000000006,0.0022798786193386697,False,False,False
820,3.0,0.17537118069031254,0.0379751338306587,38,0.040624999999999994,0.0026498661693412917,False,False,False
845,3.0,0.11945949689214669,0.02586793544963014,36,0.02812500000000001,0.002257064550369871,False,False,False
871,-1.0,-0.11308624737710798,-0.02448786261031246,28,-0.021875000000000006,0.002612862610312454,False,False,False
897,1.0,-0.017015024993658624,-0.003684458579355872,31,-0.003124999999999989,0.0005594585793558832,False,False,False
922,1.0,0.1782817989570205,0.03860540339817321,38,0.040624999999999994,0.0020195966018267814,False,False,False
948,-1.0,-0.01751419465048287,-0.0037925495122417023,31,-0.003124999999999989,0.0006675495122417134,False,False,False
974,-1.0,-0.20448555372320518,-0.04427960305968347,24,-0.046875,-0.002595396940316533,False,False,False
999,-1.0,-0.2039491117426535,-0.04416344112290657,24,-0.046875,-0.0027115588770934285,False,False,False
1025,1.0,0.04350299587902755,0.009420202818033066,33,0.009374999999999994,-4.520281803307123e-05,False,False,False
1050,-3.0,-0.4057045974632808,-0.08785187123526425,17,-0.09062500000000001,-0.0027731287647357605,False,False,False
1076,1.0,0.03145649830473272,0.006811636485903523,33,0.009374999999999994,0.002563363514096471,False,False,False
1102,-1.0,-0.08986056630910658,-0.01945853941482644,28,-0.021875000000000006,-0.0024164605851735646,False,False,False
1127,3.0,0.2656980500042443,0.05753464718512662,41,0.05937500000000001,0.0018403528148733944,False,False,False
1153,-3.0,-0.38108129891538006,-0.08251990589165381,18,-0.084375,-0.0018550941083461947,False,False,False
1179,1.0,0.11547289915441614,0.02500467170228348,36,0.02812500000000001,0.0031203282977165306,False,False,False
1204,-1.0,-0.11711107554907327,-0.025359404832210837,27,-0.02812500000000001,-0.002765595167789174,False,False,False
1230,-1.0,-0.09126384635739183,-0.01976240774385156,28,-0.021875000000000006,-0.002112592256148446,False,False,False
1256,1.0,0.038654375666227064,0.008370275453968132,33,0.009374999999999994,0.0010047245460318623,False,False,False
1281,-1.0,-0.0531976608314555,-0.01151949984940773,30,-0.009374999999999994,0.0021444998494077362,False,False,False
1307,-3.0,-0.23791724525224692,-0.05151895079631408,23,-0.053125000000000006,-0.0016060492036859275,False,False,False
1333,-3.0,-0.22365383434103236,-0.04843033078416079,24,-0.046875,0.0015553307841607925,False,False,False
1358,1.0,0.04522078607163283,0.009792175637058392,33,0.009374999999999994,-0.0004171756370583979,False,False,False
1384,-1.0,-0.2990280088920263,-0.0647519655857422,21,-0.06562500000000002,-0.0008730344142578172,False,False,False
1409,1.0,-0.04148426760742472,-0.008983064424027305,30,-0.009374999999999994,-0.0003919355759726892,False,False,False
1435,-3.0,-0.3818184580682988,-0.08267953142063975,18,-0.084375,-0.0016954685793602597,False,False,False
1461,-1.0,-0.05004768238187169,-0.010837398875258095,30,-0.009374999999999994,0.0014623988752581005,False,False,False
1486,-1.0,-0.12995462185781548,-0.028140565271542333,27,-0.02812500000000001,1.5565271542321985e-05,False,False,False
1512,1.0,-0.10495724041912113,-0.022727595467645256,28,-0.021875000000000006,0.00085259546764525,False,False,False
1538,-1.0,-0.13055310076570503,-0.02827016077596027,27,-0.02812500000000001,0.00014516077596025967,False,False,False
1563,3.0,0.14454190213966453,0.03129931643435038,37,0.03437499999999999,0.003075683565649606,False,False,False
1589,3.0,0.16319375019927262,0.035338215091841436,37,0.03437499999999999,-0.0009632150918414475,False,False,False
1615,-1.0,-0.10494248733643657,-0.022724400813385892,28,-0.021875000000000006,0.0008494008133858866,False,False,False
1640,-3.0,-0.34360932513377046,-0.07440566948374344,20,-0.071875,0.0025306694837434474,False,False,False
1666,-1.0,0.008329278688231852,0.0018036342781829057,32,0.003124999999999989,0.0013213657218170832,False,False,False
1691,-3.0,-0.3557101751477268,-0.07702600537323148,19,-0.078125,-0.001098994626768518,False,False,False
1717,-3.0,-0.04663591431788014,-0.01009860959232543,30,-0.009374999999999994,0.0007236095923254353,False,False,False
1743,1.0,0.058541614272562215,0.012676687400475239,34,0.015625,0.0029483125995247612,False,False,False
