tap_offset_ui,coefficient_per_centered_adc_code
-8,-0.006409280553649682
-7,-0.004072454686461838
-6,-0.005624610903821709
-5,-0.008058694768310797
-4,-0.0072795444054828485
-3,-0.01868486556667528
-2,0.01256585624554755
-1,-0.154321384787345
0,0.41093034921407456
1,-0.11708433496021803
2,0.032276644200721655
3,-0.00947737628236281
4,0.003003046725621339
5,-0.00026884442138685473
6,-0.00044887064492561126
7,-0.00011495288131493357
8,-0.00026641742401121104
