node,reference_plane,sampling,sample_count,mean_v,rms_v,peak_abs_v,crest_factor,papr_linear,papr_db,mean_removed,noise_included,jitter_included
TX output,loaded differential matched channel input,8 samples/UI continuous grid,122880,-0.0011425766484655672,0.3004545632718402,0.45000044235282,1.4977320945053385,2.243201426911348,3.5086827254348667,False,False,False
Channel output,matched differential channel output before AFE,8 samples/UI continuous grid,122880,-0.0011847902764924353,0.08059260027999675,0.2585886015005681,3.208589878005839,10.295049005241525,10.126284182348005,False,False,False
CTLE/AFE output,differential CTLE/AFE voltage output before VGA,8 samples/UI continuous grid,122880,-0.002356782842112233,0.2203858678842133,0.5749097471648823,2.6086506938227516,6.805058442381923,8.328318593108436,False,False,False
VGA / ADC input,differential VGA output at ADC input,8 samples/UI continuous grid,122880,-0.000510341228739621,0.04772268051309969,0.12449180363157901,2.6086506938227516,6.805058442381923,8.328318593108436,False,False,False
ADC input decision samples,differential VGA output sampled at one sample/UI,1 sample/UI at main cursor,15360,-0.0005140533558215192,0.04828784326002855,0.12377402784805361,2.563254423717669,6.5702732407082,8.175834311220704,False,False,False
ADC reconstructed output,signed voltage-equivalent reconstruction of ADC output codes,1 sample/UI at main cursor,15360,-0.0005102539062500018,0.04831753878289392,0.12187500000000001,2.522375995756389,6.362380663968036,8.036196495740933,False,False,False
Impaired ADC input samples,differential ADC input including stochastic impairments,1 sample/UI at jittered decision point,15360,-0.0004674031696042224,0.048480466128797424,0.12729267698651792,2.625648784983649,6.894031542086113,8.38473266092905,False,True,True
Impaired ADC output,voltage-equivalent reconstruction of impaired ADC codes,1 sample/UI at decision point,15360,-0.0004536946614583347,0.04851309834738471,0.128125,2.6410393144248037,6.975088660337437,8.435497322969749,False,True,True
