symbol_index,normalized_pam4_symbol,tx_center_sample_v,channel_center_sample_v
1794,-3.0,-0.44982941247163344,-0.1670562936206803
1820,3.0,0.4466009366626134,0.09680936955355274
1845,3.0,0.4443895274150368,-0.09713964666171107
1871,-3.0,-0.4462598505468698,-0.08590671182968891
1897,3.0,0.44473071038715695,0.050421357514174106
1922,1.0,0.148129866917944,0.01369147456249925
1948,1.0,0.1500001413549138,0.11519669011290201
1974,3.0,0.44438982376308456,0.019621662305836677
1999,-3.0,-0.44778886804965123,-0.023519672982621854
2025,-3.0,-0.4481299227625246,-0.08821547895715293
2050,1.0,0.14643027920742605,-0.020212933428824284
2076,-3.0,-0.44795940091802855,-0.051197594014178366
2102,-3.0,-0.44473077478910017,-0.0352564104835571
2127,3.0,0.44456024574202946,0.07136689848130519
2153,3.0,0.4496588515166652,0.05215472852585668
2179,-3.0,-0.4483004275998336,-0.07139566440739709
2204,-1.0,-0.1479593618345123,0.08366522674618976
2230,-3.0,-0.4500001794517098,-0.1956089175583816
2256,3.0,0.4477887683822796,-0.027056328025414588
2281,1.0,0.1501704814864087,0.06046871341585995
2307,1.0,0.15135853901935667,0.03416788333483012
2333,-1.0,-0.14847086459627196,0.0013508272738196425
2358,-3.0,-0.448129926476586,-0.08377969606257202
2384,1.0,0.14847108537231152,0.1024714954257657
2409,1.0,0.15152906966860658,0.04723268243899939
2435,1.0,0.15017059620008394,0.13730441699959833
2461,-1.0,-0.1518701909892407,-0.039024486966711826
2486,-1.0,-0.14982933666028742,0.07058304713191826
2512,1.0,0.15135854248433228,0.08181907560503923
2538,-3.0,-0.4445601558673049,-0.04755871939804331
2563,1.0,0.1464302024889233,-0.06754817377192432
2589,3.0,0.44643035288711275,0.04283594429845633
2615,3.0,0.4447307115068069,0.03804935873375605
2640,-3.0,-0.44438970400227745,-0.04455870076048925
2666,3.0,0.44660082393110334,0.06419779176639684
2691,-1.0,-0.14677141419826928,-0.08940029686712342
2717,3.0,0.4447308249366131,0.03951630240113455
2743,3.0,0.4443896385008038,-0.16519035427021234
2768,-3.0,-0.4443898503894371,-0.03164368700944005
2794,-1.0,-0.1479593951956019,0.08202515182850596
2820,1.0,0.15135861219559604,0.07184631751699028
2845,-3.0,-0.44999997297357586,-0.15037529069306005
2871,-3.0,-0.4447306655537484,-0.015851431645736457
2897,1.0,0.14660078693791068,0.07013550511266152
2922,-3.0,-0.4479592304852227,-0.04859903080073458
2948,1.0,0.15152919989365932,0.031533186004008694
2974,-3.0,-0.4481299291179369,-0.113240297873444
2999,3.0,0.44625993421019083,0.0646506899616109
3025,-1.0,-0.14847085452363887,-0.03553128545537082
3050,-1.0,-0.1464302683071927,0.06018657854528163
3076,-3.0,-0.4462597279759851,-0.08072663873319212
3102,-1.0,-0.146600905284747,0.013383956026028012
3127,3.0,0.4466007764007053,0.018907926661467823
3153,3.0,0.44643030092807734,0.10616687518840384
3179,-3.0,-0.4460893134629129,0.023908717636648827
3204,1.0,0.14812995360297285,0.016652814071348315
3230,-3.0,-0.44965901080002535,-0.09839194835933826
3256,1.0,0.14660071665888988,-0.01908640642936753
3281,-1.0,-0.14965898956476512,0.041608407179376784
3307,-1.0,-0.14847101025590742,-0.09244903486023524
3333,1.0,0.14830029970012001,6.264862851080478e-06
3358,1.0,0.14795941749400848,0.04528302678950397
3384,1.0,0.1513586378693052,0.01239777666992042
3409,-3.0,-0.4460893742883787,-0.019368175546269288
3435,1.0,0.14982935523915467,-0.006808027424668863
3461,3.0,0.4445602087345779,0.01633403996401841
3486,-1.0,-0.14847094571408526,-0.00981739648423701
3512,-3.0,-0.4496589056942983,-0.0911114626173786
3538,-3.0,-0.4479593448378667,0.006003925309360054
3563,-3.0,-0.44625973676454234,-0.06085186316359313
3589,-1.0,-0.14830037430665602,-0.02161386039627887
3615,-1.0,-0.14660079697426115,-0.04350125083454441
3640,-3.0,-0.4477889102418484,-0.010043441766378893
3666,-1.0,-0.1501704690806635,-0.05794599549660631
3691,-3.0,-0.44490134320989333,-0.14141013595819596
3717,-1.0,-0.15017057199552405,-0.07237304431206504
3743,-1.0,-0.15135851998436262,0.0004196084900498925
3768,1.0,0.1484708457308765,0.10140259109084794
3794,-3.0,-0.44438978365397436,0.0006275613776101888
3820,1.0,0.1498294897100167,-0.08430450635470552
3845,3.0,0.4479594568812328,0.022026797334491668
3871,1.0,0.1467713323234296,0.03608682511436612
3897,1.0,0.14847095748735972,0.06836660384354934
3922,-1.0,-0.14965889642699642,0.043294486391435266
3948,-3.0,-0.4460892658609682,0.08465597622529632
3974,3.0,0.4449013486108748,0.1351679476068557
3999,3.0,0.4460891642045776,-0.06221314004329653
4025,3.0,0.44643027820493997,0.13526900821097837
4050,1.0,0.1513585109065877,-0.06407773081894552
4076,-3.0,-0.4447306378886555,-0.051231339248795346
4102,1.0,0.15187006499726918,0.06386366319023531
4127,3.0,0.44660102425183273,0.1328642049981396
4153,1.0,0.15017053002469888,0.09449410948135883
4179,3.0,0.4483004815147037,0.10026089199722368
4204,-3.0,-0.44948865062029714,-0.13229418403686882
4230,-3.0,-0.44965890573039513,-0.11284815985174683
4256,-1.0,-0.15169964028318011,-0.15533162647196133
4281,3.0,0.44473083900036925,0.0036360835842592478
4307,3.0,0.4481300091280978,0.04727715574739856
4333,3.0,0.44830048361786357,0.0368220662643409
4358,1.0,0.15169952153534708,0.028312157470453264
4384,-1.0,-0.15169965947237496,-0.1254633148828465
4409,1.0,0.14795925247366992,-0.1613327239892126
4435,1.0,0.15135849675945773,0.047353437730400516
4461,-3.0,-0.44965882547697056,-0.05222884535179125
4486,-3.0,-0.4494883379135318,-0.06479112978733367
4512,-3.0,-0.44982946436694893,-0.13320052428951368
4538,-1.0,-0.14643026492817796,0.0293965374833733
4563,1.0,0.14643036189478897,0.04184256490425493
4589,1.0,0.1518701501859701,0.1349181817513961
4615,-3.0,-0.4481298608504525,-0.04795125452907466
4640,-1.0,-0.14999998872273915,0.08001495922041449
4666,-1.0,-0.14795940177315647,0.11166744193751486
4691,1.0,0.1464303718359444,-0.06652530662492373
4717,-1.0,-0.1496591063910476,-0.020092084346174884
4743,-3.0,-0.4464302845331153,-0.02367238009344609
4768,-1.0,-0.14965891467475528,0.0828130341390392
4794,3.0,0.44660079870792324,0.08707728541091503
4820,-3.0,-0.44490126080075365,-0.01755811844731385
